"Skylights | Plastic, curb mounted",0.88,NR,0.64,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.88,NR,0.64,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 15,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window,0.36,0.25,0.42,,
Operable Window,0.46,0.22,0.32,,
Curtainwall or Storefront,0.41,0.26,0.46,,
Glazed Doors,0.45,0.23,0.17,,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.88,NR,0.64,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.88,NR,0.64,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 16,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window,0.36,0.25,0.42,,
Operable Window,0.46,0.22,0.32,,
Curtainwall or Storefront,0.41,0.26,0.46,,
Glazed Doors,0.45,0.23,0.17,,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.88,NR,0.64,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.88,NR,0.64,5% maximum of roof area.,
,,,,,
#see Table 140.4-G,,,,,
table:   Economizer Setpoints,,,,,
Climate Zone,Fixed Drybulb,Differential Dry-bulb,,,
1,75,0,,,
2,73,2,,,
3,75,0,,,
4,73,2,,,
5,75,0,,,
6,71,4,,,
7,69,6,,,
8,71,4,,,
9,71,4,,,
10,73,2,,,
11,75,0,,,
12,75,0,,,
13,75,0,,,
14,75,0,,,
15,75,0,,,
16,75,0,,,
