"Skylights | Glass, curb mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.81,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.81,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 15,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,0.72,0.88,0.25,,
Operable Window | North,0.72,0.88,0.25,,
Fixed Window,0.72,0.57,0.25,,
Operable Window | Non-North,0.72,0.57,0.25,,
"Skylights | Glass, curb mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.81,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.81,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 16,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,0.72,0.88,0.25,,
Operable Window | North,0.72,0.88,0.25,,
Fixed Window,0.72,0.88,0.25,,
Operable Window | Non-North,0.72,0.88,0.25,,
"Skylights | Glass, curb mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.81,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.81,0.25,5% maximum of roof area.,
,,,,,
table: Heat Rejection Parameters | Climate Zone 1,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.01,Design OATwb,,,
cw_design_temp,22.33,CW design temperature / ECWT,,,
cw_approach,5.56,approach," = MIN(29.44, design_temp + 5.56) - design_temp",,
,,,,,
table: Heat Rejection Parameters | Climate Zone 2,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.11,Design OATwb,,,
cw_design_temp,27.67,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 3,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.01,Design OATwb,,,
cw_design_temp,25.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 4,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.61,Design OATwb,,,
cw_design_temp,28.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 5,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.22,Design OATwb,,,
cw_design_temp,25.78,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 6,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,23.78,Design OATwb,,,
cw_design_temp,29.33,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 7,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,21.22,Design OATwb,,,
cw_design_temp,26.78,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 8,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,21.5,Design OATwb,,,
cw_design_temp,27.06,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 9,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,23.72,Design OATwb,,,
cw_design_temp,29.28,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 10,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,21.61,Design OATwb,,,
cw_design_temp,27.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 11,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.61,Design OATwb,,,
cw_design_temp,28.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 11,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.61,Design OATwb,,,
cw_design_temp,28.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 12,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.11,Design OATwb,,,
cw_design_temp,27.67,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 13,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22,Design OATwb,,,
cw_design_temp,27.56,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 14,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.89,Design OATwb,,,
cw_design_temp,26.44,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 15,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,24.11,Design OATwb,,,
cw_design_temp,29.44,CW design temperature / ECWT,,,
cw_approach,5.33,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 16,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.01,Design OATwb,,,
cw_design_temp,21.67,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Lighting Power Density,,,,,
space,LPD,FuncType,,,
auditorium,2,Auditorium,,,
bank,1.8,"Bank, Financial Insitution",,,
classroom_class,2,"Classroom, Lecture, Training, Vocational room",,,
conference,1.6,"Convention, Conference, Multipurpose and Meeting",,,
corridor,0.8,"Corridors, restrooms, stairs, and support areas",,,
dining_fine,1.2,Dining,,,
dining_fast,1.2,Dining,,,
exhibit,2.3,Exhibit,,,
grocery,2,Grocery Sales,,,
guestroom,0.5,*Unlisted - 2013 assumptions,,,
gym,1,"Exercise Center, Gymnasium",,,
health_operating,1.8,Medical and Clinical Care,,,
health_patient,1.8,Medical and Clinical Care,,,
industrial,2,Precision commercial and industrial work,,,
kitchen,2.2,"Kitchen, food preparation",,,
lab,1.4,"Laboratory, Scientific",,,
laundry,0.9,Laundry,,,
lobby,1.5,"Lobbies, Main Entry lobby",,,
mech,0.7,"Electrical, Mechanical, Telephone Rooms",,,
office,1.6,"Offices, > 250 square feet",,,
office_small,1.1,"Offices, <= 250 square feet",,,
office_open,0.9,"Offices, > 250 square feet",,,
plenum,0,,,,
restroom,0.6,"Corridors, restrooms, stairs, and support areas",,,
retail_sales,2.2,"Retail merchandise sales, wholesale showrooms",,,
storage_refrig,0.7,Commercial and industrial storage (refrigerated),,,
storage_warehouse,0.6,Commercial and industrial storage (conditioned & unconditioned),,,
,,,,,
table:   Economizer Setpoints,,,,,
Climate Zone,Fixed Drybulb,Differential Dry-bulb,,,
1,75,0,,,
2,73,2,,,
3,75,0,,,
4,73,2,,,
5,75,0,,,
6,71,4,,,
7,69,6,,,
8,71,4,,,
9,71,4,,,
10,73,2,,,
11,75,0,,,
12,75,0,,,
13,75,0,,,
14,75,0,,,
15,75,0,,,
16,75,0,,,
