"Skylights | Glass, curb mounted",0.85,0.44,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.44,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.7,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.44,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 15,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window,1.23,0.82,0.25,,
Operable Window,1.23,0.82,0.25,,
Curtainwall or Storefront,1.23,0.82,0.25,,
Glazed Doors,1.23,0.82,0.25,,
"Skylights | Glass, curb mounted",0.85,0.44,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.44,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.7,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.44,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 16,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window,1.23,0.82,0.25,,
Operable Window,1.23,0.82,0.25,,
Curtainwall or Storefront,1.23,0.82,0.25,,
Glazed Doors,1.23,0.82,0.25,,
"Skylights | Glass, curb mounted",0.85,0.44,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.44,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.7,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.44,0.25,5% maximum of roof area.,
,,,,,
table: Heat Rejection Parameters | Climate Zone 1,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.01,Design OATwb,,,
cw_design_temp,22.33,CW design temperature / ECWT,,,
cw_approach,5.56,approach," = MIN(29.44, design_temp + 5.56) - design_temp",,
,,,,,
table: Heat Rejection Parameters | Climate Zone 2,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.11,Design OATwb,,,
cw_design_temp,27.67,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 3,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.01,Design OATwb,,,
cw_design_temp,25.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 4,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.61,Design OATwb,,,
cw_design_temp,28.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 5,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.22,Design OATwb,,,
cw_design_temp,25.78,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 6,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,23.78,Design OATwb,,,
cw_design_temp,29.33,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 7,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,21.22,Design OATwb,,,
cw_design_temp,26.78,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 8,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,21.5,Design OATwb,,,
cw_design_temp,27.06,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 9,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,23.72,Design OATwb,,,
cw_design_temp,29.28,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 10,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,21.61,Design OATwb,,,
cw_design_temp,27.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 11,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.61,Design OATwb,,,
cw_design_temp,28.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 11,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.61,Design OATwb,,,
cw_design_temp,28.17,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 12,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22.11,Design OATwb,,,
cw_design_temp,27.67,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 13,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,22,Design OATwb,,,
cw_design_temp,27.56,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 14,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.89,Design OATwb,,,
cw_design_temp,26.44,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 15,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,24.11,Design OATwb,,,
cw_design_temp,29.44,CW design temperature / ECWT,,,
cw_approach,5.33,approach,,,
,,,,,
table: Heat Rejection Parameters | Climate Zone 16,,,,,
parameter,value,Notes,,,
cw_wetbulb_design,20.01,Design OATwb,,,
cw_design_temp,21.67,CW design temperature / ECWT,,,
cw_approach,5.56,approach,,,
,,,,,
table: Lighting Power Density,,,,,
space,LPD,FuncType,,,
auditorium,1.2,Auditorium,,,
auto,1.1,Auto Repair,,,
classroom_class,1.2,"Classroom, Lecture, Training, Vocational room",,,
classroom_shop,1.2,"Classroom, Lecture, Training, Vocational room",,,
computer,1.2,MasControl3: office open plan,,,
conference,1.4,"Convention, Conference, Multipurpose and Meeting",,,
corridor,0.6,"Corridors, restrooms, stairs, and support areas",,,
dining_fine,1.3,MasControl3: dining,,,
dining_fast,1.3,MasControl3: dining,,,
grocery,1.5,MasControl3: grocery sales,,,
guestroom,0.8,MasControl3: GuestRmUnOcc,,,
gym,1,"Exercise Center, Gymnasium",,,
health_operating,1.2,Medical and Clinical Care,,,
health_patient,1.2,Medical and Clinical Care,,,
industrial_high,1.2,MasControl3: IndHighBay,,,
industrial_low,1.2,MasControl3: IndLowBay,,,
kitchen,1.6,"Kitchen, food preparation",,,
lab,1.3,MasControl3: Lab,,,
laundry,0.9,Laundry,,,
lobby,1.5,"Lobbies, Main Entry lobby",,,
mech,0.7,"Electrical, Mechanical, Telephone Rooms",,,
office_large,1.3,MasControl3: Office Small (OfL),,,
office_small,1.3,MasControl3: Office Small (OfS),,,
office_open,1.2,MasControl3: Office Open,,,
plenum,0,,,,
restroom,0.6,"Corridors, restrooms, stairs, and support areas",,,
retail_sales,1.9,MasControl3: RtS,,,
storage_refrig,0.6,MasControl3: StorageSmlCond,,,
storage_warehouse,0.6,Commercial and industrial storage (conditioned & unconditioned),,,
,,,,,
table:   Economizer Setpoints,,,,,
Climate Zone,Fixed Drybulb,Differential Dry-bulb,,,
1,75,0,,,
2,73,2,,,
3,75,0,,,
4,73,2,,,
5,75,0,,,
6,71,4,,,
7,69,6,,,
8,71,4,,,
9,71,4,,,
10,73,2,,,
11,75,0,,,
12,75,0,,,
13,75,0,,,
14,75,0,,,
15,75,0,,,
16,75,0,,,
